name,brand,model,version,nbDoor,nbSeats,turningCircle,turningRadius,length,width,widthWSideMirror,height,wheelbase,wheelTrackFront,trackWidthRear,Clearance,luggageCapacity,luggageMin
Cadillac DeVille IX 4.1 137KM 101kW 1985-1988,deville,ix,silnik-benzynowy-4.1-137km-1985-1988,4,4953 mm,1821 mm,1397 mm,2814 mm,od 1985 do 1988 roku,4087 cm³,benzynowy,137 , (101 ,) przy 4300 obr/min,278 , przy 2300 obr/min,"z przodu, poprzecznie"
Buick Electra I Nailhead V8 401 330KM 243kW 1959-1960,electra,i,silnik-benzynowy-nailhead-v8-401-330km-1959-1960,4,5,13.9 m,7.0 m,5725 mm,2050 mm,1410 mm,3208 mm,1575 mm,1524 mm,175 mm,450 l,od 1959 do 1960 roku,6572 cm³
Buick Electra II Nailhead V8 364 319KM 235kW 1961-1964,electra,ii,silnik-benzynowy-nailhead-v8-364-319km-1961-1964,4,5,14.9 m,7.5 m,5568 mm,1981 mm,1450 mm,3200 mm,1575 mm,1549 mm,175 mm,540 l,od 1961 do 1964 roku,5957 cm³
Buick Park Avenue II 3.8 V6 243KM 179kW 1996-2005,park-avenue,ii,silnik-benzynowy-3.8-v6-243km-1996-2005,4,5,4368 mm,1219 mm,2400 mm,1320 mm,1320 mm,od 1996 do 2005 roku,benzynowy,243 , (179 ,),225/60 R16,225/55 R17; 235/45 R18; 245/40 R19
Ferrari Testarossa III 4.9 i V12 48V 428KM 315kW 1991-1994,testarossa,iii,silnik-benzynowy-4.9-i-v12-48v-428km-1991-1994,2,2,4480 mm,1976 mm,1135 mm,2550 mm,1532 mm,1644 mm,1095 mm,835 mm,9.0 °,17.0 °,od 1991 do 1994 roku,4942 cm³
Ferrari Testarossa II 4.9 i V12 48V 440KM 324kW 1994-1996,testarossa,ii,silnik-benzynowy-4.9-i-v12-48v-440km-1994-1996,2,2,4480 mm,1976 mm,1135 mm,2550 mm,1532 mm,1644 mm,1095 mm,835 mm,od 1994 do 1996 roku,4942 cm³,benzynowy,440 
Ferrari 430 Spider 4.3 i V8 32V 490KM 360kW 2004-2009,430,spider,silnik-benzynowy-4.3-i-v8-32v-490km-2004-2009,2,2,4512 mm,1923 mm,1234 mm,2600 mm,1669 mm,1617 mm,250 l,od 2004 do 2009 roku,4308 cm³,benzynowy,490 , (360 
Ferrari 430 Coupe 4.3 i V8 32V 490KM 360kW 2004-2009,430,coupe,silnik-benzynowy-4.3-i-v8-32v-490km-2004-2009,2,2,4512 mm,1923 mm,2142 mm,1199 mm,2600 mm,1669 mm,1616 mm,1100 mm,812 mm,250 l,9.0 °,13.5 °
Cadillac Escalade I 5.7 255KM 188kW 1998-2002,escalade,i,silnik-benzynowy-5.7-255km-1998-2002,5,5,5116 mm,1956 mm,1905 mm,2985 mm,1894 l,od 1998 do 2002 roku,5733 cm³,benzynowy,255 , (188 ,) przy 4600 obr/min,447 
FSO Polonez Kombi 1.6 84KM 62kW 1999-2002,polonez,kombi,silnik-benzynowy-1.6-84km-1999-2002,5,5,11.2 m,5.6 m,4369 mm,1650 mm,1470 mm,1510 mm,2509 mm,1375 mm,1352 mm,847 mm,1013 mm,145 mm
FSO Warszawa 210 2.5 82KM 60kW 1964,warszawa,210,silnik-benzynowy-2.5-82km-1964-1964,4,5,4700 mm,1750 mm,1430 mm,2700 mm,w 1964 roku,2500 cm³,benzynowy,82 , (60 ,),"z przodu, podłużnie",SOHC (OHC)
Cadillac Escalade III 2018,escalade,iii,silnik-benzynowy-6.2-v8-409km-od-2007,5,8,11.9 m,5144 mm,2007 mm,1887 mm,2946 mm,1732 mm,1702 mm,305 mm,1707 l,98 l,od 2007 roku,6200 cm³
Ferrari 360 Spider 360 400KM 294kW 1999-2005,360,spider,silnik-benzynowy-360-400km-1999-2005,2,2,4477 mm,1922 mm,1214 mm,2600 mm,1669 mm,1617 mm,220 l,od 1999 do 2005 roku,3586 cm³,benzynowy,400 , (294 
Volvo V70 II,volvo,v70,ii,5,5,12.0 m,6.0 m,4733 mm,1860 mm,1562 mm,2763 mm,1611 mm,1548 mm,140 mm,1082 mm,997 mm,894 mm
Volvo XC70 I 2006,volvo,xc70,i,5,5,4733 mm,1860 mm,1562 mm,2763 mm,1611 mm,1548 mm,200 mm,1082 mm,997 mm,894 mm,988 mm,1427 mm
Volvo V70 I,volvo,v70,i,5,5,4722 mm,1761 mm,1428 mm,2664 mm,1521 mm,1468 mm,992 mm,964 mm,1404 mm,1452 mm,1580 l,420 l
Bentley Continental T 6.8 i V8 426KM 313kW 1996-2000,continental,t,silnik-benzynowy-6.8-i-v8-426km-1996-2000,2,4,5222 mm,1872 mm,1462 mm,2961 mm,350 l,od 1996 do 2000 roku,6750 cm³,benzynowy,426 , (313 ,) przy 4000 obr/min,875 
Bentley Continental Flying Spur 6.0 W12 Twin-Turbo 560KM 2006,continental,s,silnik-benzynowy-6.7-320km-1994-1995,od 1994 do 1995 roku,6750 cm³,benzynowy,320 , (235 ,) przy 4500 obr/min,650 , przy 2250 obr/min,"z przodu, podłużnie",SOHC (OHC),8,widlasty,16,wielopunktowy (MPI)
Acura RL II,acura,rl,ii,4,5,4973 mm,1847 mm,1455 mm,2800 mm,1576 mm,1585 mm,977 mm,948 mm,1487 mm,1426 mm,1400 mm,1372 mm
Volvo V40 I,volvo,v40,i,5,5,11.8 m,5.9 m,4483 mm,1717 mm,1413 mm,2550 mm,1454 mm,1474 mm,130 mm,982 mm,972 mm,1371 mm
Acura RL I 3.5 225KM 165kW 1996-2004,rl,i,silnik-benzynowy-3.5-225km-1996-2004,4,5,4956 mm,1811 mm,1384 mm,2911 mm,od 1996 do 2004 roku,3474 cm³,benzynowy,225 , (165 ,) przy 5200 obr/min,313 , przy 2800 obr/min
Acura Integra I 1.6 113KM 83kW 1985-1989,integra,i,silnik-benzynowy-1.6-113km-1985-1989,3,4280 mm,1665 mm,1345 mm,2450 mm,1420 mm,1435 mm,od 1985 do 1989 roku,1590 cm³,benzynowy,113 , (83 ,) przy 6250 obr/min,134 
Acura TL IV,acura,tl,iv,3,4928 mm,1880 mm,2118 mm,1452 mm,2775 mm,1605 mm,1620 mm,976 mm,932 mm,1477 mm,1428 mm,1415 mm,1392 mm
Acura EL I 1.6 127KM 93kW 1996-2000,el,i,silnik-benzynowy-1.6-127km-1996-2000,4,4478 mm,1704 mm,1394 mm,2619 mm,od 1996 do 2000 roku,1590 cm³,benzynowy,127 , (93 ,) przy 6200 obr/min,4,rzędowy,16
Acura Integra II 1.7 160KM 118kW 1989-1993,integra,ii,silnik-benzynowy-1.7-160km-1989-1993,3,4382 mm,1714 mm,1325 mm,2550 mm,1475 mm,1475 mm,od 1989 do 1993 roku,1678 cm³,benzynowy,160 , (118 ,) przy 7600 obr/min,159 
Acura Integra III 1.8 142KM 104kW 1994-2001,integra,iii,silnik-benzynowy-1.8-142km-1994-2001,3,4380 mm,1695 mm,1335 mm,2570 mm,1475 mm,1465 mm,505 mm,295 mm,415 mm,1650 mm,od 1994 do 2001 roku,1834 cm³,benzynowy
Acura EL II 1.7 127KM 93kW 2001-2005,el,ii,silnik-benzynowy-1.7-127km-2001-2005,4,4488 mm,1715 mm,1440 mm,2620 mm,od 2001 do 2005 roku,1668 cm³,benzynowy,127 , (93 ,) przy 6300 obr/min,155 , przy 4800 obr/min,DOHC
Acura MDX II 2021,mdx,i,silnik-benzynowy-3.5-240km-2001-2006,5,4788 mm,1955 mm,1745 mm,2700 mm,od 2001 do 2006 roku,3471 cm³,benzynowy,240 , (177 ,) przy 5300 obr/min,332 , przy 3000 obr/min,SOHC (OHC)
Volvo 940 Kombi,volvo,940,kombi,5,5,4844 mm,1750 mm,1450 mm,2770 mm,1471 mm,1460 mm,1004 mm,943 mm,1428 mm,1430 mm,2125 l,992 l
Volvo 960 Sedan,volvo,960,sedan,4,5,4870 mm,1750 mm,1420 mm,2770 mm,1500 mm,1520 mm,980 mm,950 mm,1380 mm,1390 mm,491 l,680 mm
Volvo 960 Kombi,volvo,960,kombi,5,5,4860 mm,1750 mm,1450 mm,2770 mm,1500 mm,1520 mm,1000 mm,940 mm,1380 mm,1390 mm,2125 l,992 l
Volvo S40 I,volvo,s40,i,4,5,4483 mm,1717 mm,1411 mm,2550 mm,1454 mm,1474 mm,982 mm,945 mm,1371 mm,1374 mm,853 l,470 l
Volvo S80 I,volvo,s80,i,4,5,12.1 m,6.0 m,4822 mm,1832 mm,1434 mm,2791 mm,1582 mm,1560 mm,964 mm,1067 mm,145 mm,988 mm
Volvo S40 II,volvo,s40,ii,4,5,11.1 m,5.5 m,4476 mm,1770 mm,2022 mm,1454 mm,2640 mm,1535 mm,1531 mm,135 mm,1057 mm,988 mm
Acura TSX II,acura,tsx,ii,4,5,4715 mm,1840 mm,1440 mm,2705 mm,1580 mm,1580 mm,955 mm,941 mm,1468 mm,1426 mm,1411 mm,1377 mm
Volvo C30 Hatchback 3d,volvo,c30,hatchback-3d,3,4,11.1 m,5.5 m,4266 mm,1782 mm,2039 mm,1477 mm,2640 mm,1535 mm,1531 mm,148 mm,1057 mm,988 mm
Acura TSX I 2.4 205KM 151kW 2004-2008,tsx,i,silnik-benzynowy-2.4-205km-2004-2008,4,5,4656 mm,1763 mm,1455 mm,2670 mm,od 2004 do 2008 roku,2354 cm³,benzynowy,205 , (151 ,) przy 7000 obr/min,233 , przy 4300 obr/min
Volvo C30 Hatchback 3d Facelifting,volvo,c30,hatchback-3d-facelifting,3,4,4266 mm,1782 mm,2039 mm,1447 mm,2640 mm,1535 mm,1531 mm,1057 mm,988 mm,869 mm,959 mm,1390 mm
Acura MDX II 2021,mdx,ii,silnik-benzynowy-3.7-300km-od-2007,5,4843 mm,1993 mm,1732 mm,2750 mm,1719 mm,1714 mm,208 mm,od 2007 roku,3664 cm³,benzynowy,300 , (221 ,) przy 6000 obr/min
Acura RDX I 2.3 Turbo 240KM 177kW 2006-2012,rdx,i,silnik-benzynowy-2.3-turbo-240km-2006-2012,5,4635 mm,1870 mm,1655 mm,2650 mm,1572 mm,1590 mm,158 mm,982 mm,972 mm,1479 mm,1430 mm,1383 mm,1347 mm
Volvo 740 Sedan,volvo,740,sedan,4,5,4785 mm,1750 mm,1410 mm,2770 mm,1470 mm,1460 mm,980 mm,500 mm,945 mm,490 mm,1430 mm,1430 mm
Volvo 740 Kombi,volvo,740,kombi,5,5,4785 mm,1750 mm,1435 mm,2770 mm,1470 mm,1460 mm,980 mm,500 mm,955 mm,490 mm,1430 mm,1430 mm
Volvo S60 I 2006,volvo,s60,i,4,5,11.8 m,5.9 m,4576 mm,1804 mm,1428 mm,1910 mm,2715 mm,1563 mm,1556 mm,140 mm,1082 mm,984 mm
Volvo 360 Sedan,volvo,360,sedan,4,5,4415 mm,1660 mm,1392 mm,2400 mm,1381 mm,1400 mm,141 mm,970 mm,935 mm,1412 mm,1360 mm,1375 mm
Volvo 360 Hatchback,volvo,360,hatchback,5,5,4300 mm,1660 mm,1392 mm,2400 mm,1380 mm,1400 mm,141 mm,970 mm,920 mm,1412 mm,1360 mm,1375 mm
Volvo 340 Sedan,volvo,340,sedan,4,5,4435 mm,1661 mm,1392 mm,2400 mm,1379 mm,1405 mm,970 mm,935 mm,1412 mm,1359 mm,1374 mm,1054 mm
Volvo 340 Hatchback,volvo,340,hatchback,3,5,9.1 m,4.5 m,4300 mm,1660 mm,1392 mm,2395 mm,1370 mm,1400 mm,154 mm,1072 mm,480 mm,1024 mm
Volvo XC40 Crossover Facelifting,volvo,xc40,crossover-facelifting,5,5,11.8 m,5.9 m,4425 mm,1863 mm,2034 mm,1910 mm,1652 mm,2702 mm,1601 mm,1626 mm,855 mm,868 mm
Volvo XC40 Crossover,volvo,xc40,crossover,5,5,11.4 m,5.7 m,4425 mm,1863 mm,2034 mm,1658 mm,2702 mm,1601 mm,1626 mm,855 mm,868 mm,211 mm
Volvo V90 II Kombi 2.0 T5 254KM 2016,volvo,v90,i,5,5,4861 mm,1750 mm,1450 mm,2770 mm,1502 mm,1515 mm,1004 mm,943 mm,1383 mm,1389 mm,1280 mm,829 mm
Volvo XC40 2021,volvo,xc40,crossover-plug-in,5,5,11.4 m,5.7 m,4425 mm,1863 mm,2034 mm,1652 mm,2702 mm,1601 mm,1626 mm,855 mm,868 mm,211 mm
Volvo XC40 Crossover Plug-In Facelifting,volvo,xc40,crossover-plug-in-facelifting,5,5,11.4 m,5.7 m,4425 mm,1863 mm,2034 mm,1910 mm,1652 mm,2702 mm,1601 mm,1626 mm,855 mm,868 mm
Volvo XC40 Recharge P6 69kWh 231KM 2022,volvo,xc40,recharge,5,5,11.8 m,5.9 m,4440 mm,1863 mm,2034 mm,1910 mm,1647 mm,2702 mm,1601 mm,1610 mm,175 mm,1295 l
Volvo XC90 I,volvo,xc90,i,5,5,12.7 m,6.3 m,4807 mm,1898 mm,2112 mm,1784 mm,2857 mm,1634 mm,1624 mm,218 mm,1041 mm,1019 mm
Aixam City 2020,city,city-ev,silnik-elektryczny-elektryczny-5km-od-2017,3,2,8.0 m,4.0 m,2758 mm,1500 mm,1795 mm,1345 mm,1345 mm,170 mm,700 l,700 l,od 2017 roku,elektryczny
Aixam Coupe Coupe EV Elektryczny 12KM 9kW od 2017,coupe,coupe-ev,silnik-elektryczny-elektryczny-12km-od-2017,3,2,8.0 m,4.0 m,3000 mm,1500 mm,2000 mm,1345 mm,1345 mm,170 mm,1000 l,1000 l,od 2017 roku,elektryczny
Bentley Brooklands II 6.8 V8 537KM 395kW od 2008,brooklands,ii,silnik-benzynowy-6.8-v8-537km-od-2008,2,5411 mm,1473 mm,3116 mm,1610 mm,1608 mm,od 2008 roku,6761 cm³,benzynowy,537 , (395 ,) przy 4100 obr/min,1050 , przy 3250 obr/min
Aston Martin DB9 2005,db9,volante,silnik-benzynowy-5.9-i-v12-48v-450km-2003-2017,2,4,4710 mm,1875 mm,1270 mm,2745 mm,1570 mm,1560 mm,197 l,od 2003 do 2017 roku,5935 cm³,benzynowy,450 , (331 
Aston Martin DB5 Volante 4.0 286KM 210kW 1963-1965,db5,volante,silnik-benzynowy-4.0-286km-1963-1965,2,4572 mm,1676 mm,1350 mm,2489 mm,1372 mm,1359 mm,od 1963 do 1965 roku,3996 cm³,benzynowy,286 , (210 ,) przy 5500 obr/min,390 
Suzuki Wagon II,suzuki,wagon,ii,5,5,3500 mm,1620 mm,1700 mm,2360 mm,1420 mm,1385 mm,155 mm,475 mm,1045 mm,450 mm,1345 mm,1220 mm
Suzuki Baleno III,suzuki,baleno,iii,5,5,9.8 m,4.9 m,3995 mm,1745 mm,1470 mm,2520 mm,1530 mm,1530 mm,120 mm,1085 l,355 l,540 kg
Suzuki Liana Kombi,suzuki,liana,kombi,5,5,10.2 m,5.1 m,4230 mm,1690 mm,1550 mm,2480 mm,1450 mm,1445 mm,865 mm,885 mm,150 mm,1062 l
Suzuki Alto IV 1.1 63KM 2004,alto,i,silnik-benzynowy-0.8-40km-1982-1985,5,5,3335 mm,1440 mm,1405 mm,2175 mm,od 1982 do 1985 roku,796 cm³,benzynowy,40 , (29 ,) przy 5500 obr/min,59 , przy 3000 obr/min
Suzuki Alto II 0.8 39KM 29kW 1986-1993,alto,ii,silnik-benzynowy-0.8-39km-1986-1993,5,5,3340 mm,1400 mm,1395 mm,2335 mm,1220 mm,1200 mm,555 mm,450 mm,1050 l,145 l,od 1986 do 1993 roku,796 cm³
Suzuki Alto V 0.7 54KM 40kW 2006-2008,alto,v,silnik-benzynowy-0.7-54km-2006-2008,5,5,3500 mm,1600 mm,1470 mm,2360 mm,1405 mm,1400 mm,150 mm,1260 mm,1230 mm,od 2006 do 2008 roku,658 cm³,benzynowy
Suzuki Alto VI 1.0 68KM 50kW 2009-2014,alto,vi,silnik-benzynowy-1.0-68km-2009-2014,5,4,3500 mm,1600 mm,1470 mm,2360 mm,1405 mm,1400 mm,680 mm,460 mm,367 l,129 l,od 2009 do 2014 roku,996 cm³
Toyota Tundra II,toyota,tundra,ii,5,5,5809 mm,2029 mm,1920 mm,3708 mm,1227 mm,1227 mm,1021 mm,983 mm,1692 mm,1661 mm,1600 mm,1590 mm
Toyota Verso Minivan Facelifting 1.8 Valvematic 147KM 2017,toyota,verso,minivan-facelifting,5,5,10.8 m,5.4 m,4460 mm,1790 mm,1620 mm,2780 mm,1540 mm,1540 mm,930 mm,750 mm,145 mm,1340 mm
Toyota Verso Minivan 2.0 D-4D 126KM 2012,toyota,verso,minivan,5,5,11.2 m,5.6 m,4440 mm,1790 mm,1620 mm,1660 mm,2780 mm,1535 mm,1545 mm,915 mm,745 mm,145 mm
Toyota Starlet I,toyota,starlet,i,2,3790 mm,1530 mm,1310 mm,2265 mm,1260 mm,1245 mm,680 mm,845 mm,170 mm,850 mm,475 mm,215 mm,840 mm
Toyota MR2 II,toyota,mr2,ii,2,2,4180 mm,1700 mm,1240 mm,2400 mm,1450 mm,1470 mm,965 mm,914 mm,508 mm,1270 mm,219 l,1321 mm
Toyota Paseo I 1.5 i 16V 115KM 85kW 1991-1996,paseo,i,silnik-benzynowy-1.5-i-16v-115km-1991-1996,2,4,4145 mm,1645 mm,1295 mm,2380 mm,1405 mm,1395 mm,140 mm,815 l,220 l,od 1991 do 1996 roku,1497 cm³,benzynowy
Toyota Starlet IV,toyota,starlet,iv,3,5,3790 mm,1625 mm,1400 mm,2300 mm,1400 mm,1395 mm,930 mm,480 mm,910 mm,440 mm,1705 mm,1380 mm
Toyota Hiace II 2.0 D 60KM 44kW 1977-1982,hiace,ii,silnik-diesla-2.0-d-60km-1977-1982,4,2,4340 mm,1690 mm,1915 mm,2340 mm,1430 mm,1400 mm,940 mm,1060 mm,180 mm,1100 mm,595 mm,od 1977 do 1982 roku
Toyota MR2 III 1.8 16V VT-i 140KM 103kW 2000-2007,mr2,iii,silnik-benzynowy-1.8-16v-vt-i-140km-2000-2007,2,2,3886 mm,1694 mm,1224 mm,2451 mm,1476 mm,1460 mm,947 mm,1290 mm,1265 mm,90 l,od 2000 do 2007 roku,1794 cm³
Toyota GT86 Coupe Facelifting 2.0 Boxer 200KM 2018,gt86,coupe,silnik-benzynowy-2.0-boxer-200km-2012-2016,2,2,11.4 m,5.7 m,4240 mm,1775 mm,1285 mm,2570 mm,1520 mm,1540 mm,845 mm,825 mm,130 mm,480 l
Toyota Celica I,toyota,celica,i,2,4,4165 mm,1600 mm,1310 mm,2425 mm,1280 mm,1285 mm,765 mm,955 mm,175 mm,920 mm,465 mm,865 mm
Toyota GT86 Coupe Facelifting 2.0 Boxer 200KM 147kW 2016-2020,gt86,coupe-facelifting,silnik-benzynowy-2.0-boxer-200km-2016-2020,2,4,10.8 m,5.4 m,4240 mm,1775 mm,1320 mm,2570 mm,1520 mm,1540 mm,845 mm,825 mm,130 mm,243 l
Toyota Yaris I,toyota,yaris,i,5,5,3640 mm,1660 mm,1500 mm,2370 mm,1450 mm,1430 mm,135 mm,950 mm,920 mm,1795 mm,1380 mm,1260 mm
Toyota 4Runner II,toyota,4runner,ii,5,5,4470 mm,1690 mm,1745 mm,2625 mm,1430 mm,1425 mm,735 mm,1110 mm,200 mm,970 mm,960 mm,1705 l
Toyota 4Runner III,toyota,4runner,iii,5,5,4470 mm,1690 mm,1745 mm,2625 mm,1430 mm,1425 mm,735 mm,1110 mm,200 mm,970 mm,960 mm,2100 l
Toyota 4Runner IV,toyota,4runner,iv,5,5,4770 mm,1875 mm,1790 mm,2790 mm,1575 mm,1575 mm,910 mm,990 mm,960 mm,495 mm,985 mm,465 mm
Toyota Celica VII,toyota,celica,vii,2,4,4335 mm,1735 mm,1305 mm,2600 mm,1490 mm,1480 mm,140 mm,940 mm,880 mm,1725 mm,1440 mm,1085 mm
Toyota Corolla Verso AR10 1.8 i 130KM 2008,toyota,corolla-verso,ar10,5,5,10.8 m,5.4 m,4360 mm,1770 mm,1620 mm,1660 mm,2750 mm,1540 mm,1540 mm,900 mm,710 mm,1026 l
Toyota Avalon II 3.0 i V6 24V 213KM 157kW 2000-2004,avalon,ii,silnik-benzynowy-3.0-i-v6-24v-213km-2000-2004,4,5,4874 mm,1821 mm,1450 mm,2720 mm,1549 mm,1524 mm,130 mm,1190 l,430 l,od 2000 do 2004 roku,2995 cm³,benzynowy
Toyota Avalon III 2020,avalon,iii,silnik-benzynowy-3.5-v6-268km-2005-2012,4,5,5009 mm,1849 mm,1486 mm,2819 mm,1580 mm,1565 mm,135 mm,408 l,od 2005 do 2012 roku,3456 cm³,benzynowy,268 
Toyota Proace City Furgon Long,toyota,proace-city,furgon-long,4,2,10.8 m,4753 mm,1848 mm,2107 mm,1860 mm,2975 mm,1553 mm,1459 mm,892 mm,886 mm,145 mm,4400 l
Toyota Proace City Verso Long,toyota,proace-city,verso-long,5,5,10.8 m,4750 mm,1848 mm,2107 mm,1812 mm,1880 mm,2975 mm,1553 mm,1567 mm,892 mm,886 mm,154 mm
Toyota Prius II 1.5 VVT-i 78KM 57kW 2003-2009,prius,ii,silnik-benzynowy-1.5-vvt-i-78km-2003-2009,5,5,4445 mm,1725 mm,1490 mm,2700 mm,1505 mm,1480 mm,145 mm,950 mm,900 mm,1890 mm,1440 mm,1225 mm
Toyota Sienna III 3.5 V6 266KM 2015,toyota,sienna,i,5,5,4935 mm,1864 mm,1709 mm,2895 mm,1575 mm,1600 mm,1031 mm,1034 mm,1534 mm,1577 mm,1491 mm,1605 mm
Toyota Sequoia II,toyota,sequoia,ii,5,7,5209 mm,2029 mm,1956 mm,3099 mm,1727 mm,1752 mm,973 mm,988 mm,1686 mm,1666 mm,1577 mm,1521 mm
Toyota Sequoia I 4.7 V8 32V 273KM 2006,toyota,sequoia,i,5,5,5209 mm,2027 mm,1956 mm,3099 mm,1727 mm,1752 mm,973 mm,988 mm,1686 mm,1666 mm,1577 mm,1521 mm
Toyota Hilux II 2.2 95KM 70kW 1973-1978,hilux,ii,silnik-benzynowy-2.2-95km-1973-1978,2,2,4689 mm,1580 mm,1580 mm,2794 mm,od 1973 do 1978 roku,2237 cm³,benzynowy,95 , (70 ,) przy 4600 obr/min,181 , przy 3000 obr/min
Toyota Land Cruiser II,toyota,land-cruiser,ii,5,5,4970 mm,1900 mm,1900 mm,2850 mm,1575 mm,1580 mm,705 mm,1100 mm,1368 l,830 l,1220 mm,1510 mm
Toyota Sienna II,toyota,sienna,ii,5,8,5085 mm,1986 mm,1750 mm,3022 mm,1727 mm,1727 mm,993 mm,965 mm,1651 mm,1641 mm,1488 mm,1678 mm
Toyota RAV4 II,toyota,rav4,ii,3,4,10.6 m,4200 mm,1735 mm,2135 mm,1785 mm,1680 mm,1715 mm,2490 mm,1505 mm,1495 mm,175 mm,766 l
Toyota Proace City Furgon Standard,toyota,proace-city,furgon-standard,3,2,10.8 m,4403 mm,1848 mm,2107 mm,1796 mm,2785 mm,1548 mm,1568 mm,892 mm,726 mm,145 mm,3800 l
Toyota Proace City Verso Standard,toyota,proace-city,verso-standard,5,5,10.8 m,4403 mm,1848 mm,2107 mm,1773 mm,2785 mm,1548 mm,1568 mm,892 mm,726 mm,154 mm,1355 l
Toyota Proace City Furgon Brygadowy,toyota,proace-city,furgon-brygadowy,5,5,10.8 m,4753 mm,1848 mm,2107 mm,1860 mm,2975 mm,1553 mm,1549 mm,892 mm,886 mm,154 mm,3500 l
Toyota Highlander III 2.5 248KM 2020,highlander,iii,silnik-hybrydowy-2.5-248km-od-2020,5,7,11.4 m,4950 mm,1930 mm,1730 mm,2850 mm,1662 mm,1659 mm,988 mm,1128 mm,203 mm,1909 l,241 l
Toyota Proace City Electric Standard 50kWh 136KM 100kW od 2022,proace-city,electric-standard,silnik-elektryczny-50kwh-136km-od-2022,5,3,11.4 m,5.7 m,4403 mm,1848 mm,2107 mm,1796 mm,2785 mm,1548 mm,1548 mm,892 mm,726 mm,160 mm
Toyota Proace City Electric Long 50kWh 136KM 100kW od 2022,proace-city,electric-long,silnik-elektryczny-50kwh-136km-od-2022,5,3,11.6 m,5.8 m,4753 mm,1848 mm,2107 mm,1796 mm,2975 mm,1553 mm,1553 mm,892 mm,886 mm,160 mm
Toyota C-HR 2020,toyota,c-hr,crossover-facelifting,5,5,10.4 m,5.2 m,4360 mm,1795 mm,1565 mm,2640 mm,1550 mm,1560 mm,915 mm,805 mm,160 mm,377 l
Toyota C-HR Crossover,toyota,c-hr,crossover,5,5,10.4 m,5.2 m,4360 mm,1795 mm,1565 mm,2640 mm,1550 mm,1560 mm,915 mm,805 mm,160 mm,377 l
Toyota Camry VIII,toyota,camry,viii,4,5,11.3 m,5.7 m,4849 mm,1821 mm,1471 mm,2776 mm,1595 mm,1585 mm,155 mm,985 mm,957 mm,1473 mm
Volkswagen LT II,volkswagen,lt,ii,4,9,4835 mm,1933 mm,2350 mm,3000 mm,1625 mm,1630 mm,885 mm,950 mm,194 mm,670 mm,1560 mm,1540 mm
Volkswagen Golf Sportsvan Sportsvan 1.6 TDI BlueMotion 110KM 2015,volkswagen,golf-sportsvan,sportsvan,5,5,11.1 m,4338 mm,4434 mm,1807 mm,2050 mm,3732 mm,3481 mm,1578 mm,2045 mm,1799 mm,2685 mm,1543 mm
Toyota Camry IX 2.5 Hybrid Dynamic Force 218KM 160kW od 2018,camry,ix,silnik-hybrydowy-2.5-hybrid-dynamic-force-218km-od-2018,4,5,11.4 m,5.7 m,4885 mm,1840 mm,1445 mm,2825 mm,1580 mm,1590 mm,127 mm,524 l,od 2018 roku,2487 cm³
Volkswagen New Beetle Hatchback,volkswagen,new-beetle,hatchback,2,4,10.9 m,5.5 m,4081 mm,4201 mm,1724 mm,1885 mm,3605 mm,1498 mm,1732 mm,2508 mm,1508 mm,1494 mm
Volkswagen Fox Hatchback 1.2 i 55KM 2006,volkswagen,fox,hatchback,3,4,3825 mm,1640 mm,1902 mm,3838 mm,1524 mm,2045 mm,1766 mm,2450 mm,1431 mm,1425 mm,88 mm,995 mm
Volkswagen New Beetle Cabrio,volkswagen,new-beetle,cabrio,2,4,4129 mm,4220 mm,1721 mm,1897 mm,3605 mm,1502 mm,1309 mm,1746 mm,2516 mm,1507 mm,1487 mm,103 mm
Volkswagen Golf Sportsvan Sportsvan Facelifting,volkswagen,golf-sportsvan,sportsvan-facelifting,5,5,11.1 m,5.5 m,4351 mm,1807 mm,2050 mm,1613 mm,2045 mm,2670 mm,1549 mm,1520 mm,821 mm,760 mm
Volkswagen Golf Plus II 1.4 TSI 160KM 2010,volkswagen,golf-plus,ii,5,5,10.8 m,4204 mm,4299 mm,1759 mm,1946 mm,3638 mm,3646 mm,1592 mm,1621 mm,2048 mm,1804 mm,2578 mm
Volkswagen Golf Plus I,volkswagen,golf-plus,i,5,5,10.8 m,5.4 m,4206 mm,1759 mm,1580 mm,2578 mm,1541 mm,1529 mm,877 mm,751 mm,145 mm,1019 mm
Volkswagen Bora Sedan 1.4 16V 75KM 2000,volkswagen,bora,sedan,4,5,4376 mm,1735 mm,1446 mm,2513 mm,1513 mm,1494 mm,880 mm,975 mm,590 mm,933 mm,1406 mm,1402 mm
Volkswagen EOS Coupe Cabrio,volkswagen,eos,coupe-cabrio,2,10.9 m,4407 mm,4510 mm,1791 mm,4153 mm,1443 mm,1941 mm,1775 mm,2578 mm,1545 mm,1547 mm,106 mm,1109 mm
Volkswagen EOS Coupe Cabrio Facelifting,volkswagen,eos,coupe-cabrio-facelifting,2,4,10.9 m,4423 mm,4518 mm,1791 mm,2009 mm,4153 mm,1444 mm,1944 mm,1772 mm,2578 mm,1545 mm,1547 mm
Volkswagen Jetta V,volkswagen,jetta,v,4,5,4554 mm,4653 mm,1781 mm,2003 mm,3640 mm,3435 mm,1459 mm,1787 mm,1763 mm,2578 mm,1534 mm,1512 mm
